Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Afghanistan,AFG,26.9249447726712
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Albania,ALB,1.6951784085579
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Algeria,DZA,0.0982000789628361
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,American Samoa,ASM,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Andorra,AND,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Angola,AGO,0.0778671179188192
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Antigua and Barbuda,ATG,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Argentina,ARG,0.0619211618497848
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Armenia,ARM,1.58388485667723
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Aruba,ABW,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Australia,AUS,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Austria,AUT,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Azerbaijan,AZE,0.0659622190368467
"Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,""Bahamas, The"",BHS,.."
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Bahrain,BHR,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Bangladesh,BGD,1.08804790683243
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Barbados,BRB,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Belarus,BLR,0.0248286664473665
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Belgium,BEL,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Belize,BLZ,0.77462056027795
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Benin,BEN,4.90434445810732
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Bermuda,BMU,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Bhutan,BTN,7.10424932642109
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Bolivia,BOL,0.675585453878547
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Bosnia and Herzegovina,BIH,1.17733764216121
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Botswana,BWA,0.445859056577429
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Brazil,BRA,0.0305176073891265
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,British Virgin Islands,VGB,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Brunei Darussalam,BRN,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Bulgaria,BGR,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Burkina Faso,BFA,7.99509496743708
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Burundi,BDI,14.1869343557205
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Cabo Verde,CPV,3.78185333901984
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Cambodia,KHM,4.02910141105494
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Cameroon,CMR,2.74507150229257
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Canada,CAN,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Cayman Islands,CYM,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Central African Republic,CAF,27.250920880235
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Chad,TCD,3.98036612606626
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Channel Islands,CHI,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Chile,CHL,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,China,CHN,-0.00154418150046106
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Colombia,COL,0.564767859064295
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Comoros,COM,11.308100104587
"Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,""Congo, Dem. Rep."",COD,4.91697655311862"
"Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,""Congo, Rep."",COG,4.99611812875133"
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Costa Rica,CRI,0.997491224798662
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Cote d'Ivoire,CIV,2.86701014126948
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Croatia,HRV,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Cuba,CUB,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Curacao,CUW,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Cyprus,CYP,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Czechia,CZE,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Denmark,DNK,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Djibouti,DJI,1.6762070856579
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Dominica,DMA,9.50830696186532
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Dominican Republic,DOM,0.337294433442168
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Ecuador,ECU,0.330589477290366
"Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,""Egypt, Arab Rep."",EGY,1.26227769655957"
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,El Salvador,SLV,2.37020969795951
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Equatorial Guinea,GNQ,0.139056938077233
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Eritrea,ERI,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Estonia,EST,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Eswatini,SWZ,2.23409193929015
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Ethiopia,ETH,4.02198365094148
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Faroe Islands,FRO,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Fiji,FJI,7.66054314198629
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Finland,FIN,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,France,FRA,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,French Polynesia,PYF,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Gabon,GAB,0.712774407224003
"Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,""Gambia, The"",GMB,12.5329494002404"
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Georgia,GEO,1.62086951340553
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Germany,DEU,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Ghana,GHA,1.44501765492881
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Gibraltar,GIB,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Greece,GRC,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Greenland,GRL,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Grenada,GRD,-8.22394934283269
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Guam,GUM,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Guatemala,GTM,0.469560644023403
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Guinea,GIN,2.56755887810027
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Guinea-Bissau,GNB,8.01062831532121
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Guyana,GUY,2.24923345338212
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Haiti,HTI,4.43392676470454
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Honduras,HND,2.72299471683383
"Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,""Hong Kong SAR, China"",HKG,.."
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Hungary,HUN,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Iceland,ISL,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,India,IND,0.085395204884421
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Indonesia,IDN,0.0520217147137062
"Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,""Iran, Islamic Rep."",IRN,0.0689678791055119"
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Iraq,IRQ,0.548443348448128
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Ireland,IRL,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Isle of Man,IMN,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Israel,ISR,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Italy,ITA,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Jamaica,JAM,0.523401007891495
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Japan,JPN,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Jordan,JOR,4.11814489097836
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Kazakhstan,KAZ,0.037345479918151
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Kenya,KEN,2.34216272813436
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Kiribati,KIR,20.3487900978079
"Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,""Korea, Dem. People's Rep."",PRK,.."
"Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,""Korea, Rep."",KOR,.."
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Kosovo,XKX,4.03595918485361
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Kuwait,KWT,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Kyrgyz Republic,KGZ,6.1967554610806
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Lao PDR,LAO,3.82449599181715
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Latvia,LVA,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Lebanon,LBN,7.13851457922801
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Lesotho,LSO,5.43707766426183
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Liberia,LBR,12.942827606022
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Libya,LBY,0.610852221354153
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Liechtenstein,LIE,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Lithuania,LTU,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Luxembourg,LUX,..
"Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,""Macao SAR, China"",MAC,.."
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Madagascar,MDG,6.71601104860105
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Malawi,MWI,11.3763305758569
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Malaysia,MYS,0.00150426910235144
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Maldives,MDV,2.20048262323771
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Mali,MLI,5.52057383748637
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Malta,MLT,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Marshall Islands,MHL,47.4542931215206
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Mauritania,MRT,3.44936500748483
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Mauritius,MUS,0.541192344725448
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Mexico,MEX,0.0346606538271294
"Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,""Micronesia, Fed. Sts."",FSM,32.8202676503583"
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Moldova,MDA,6.07295568156991
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Monaco,MCO,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Mongolia,MNG,1.84181816247804
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Montenegro,MNE,1.62658409912004
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Morocco,MAR,1.09524688704206
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Mozambique,MOZ,14.7438303319363
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Myanmar,MMR,1.64213121897817
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Namibia,NAM,2.71861189068702
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Nauru,NRU,14.1974449243739
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Nepal,NPL,2.8939617926913
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Netherlands,NLD,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,New Caledonia,NCL,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,New Zealand,NZL,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Nicaragua,NIC,7.80582708403881
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Niger,NER,14.5485632968888
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Nigeria,NGA,0.695330270196992
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,North Macedonia,MKD,1.68828382595701
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Northern Mariana Islands,MNP,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Norway,NOR,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Oman,OMN,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Pakistan,PAK,0.468981528185361
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Palau,PLW,22.5311403805069
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Panama,PAN,0.180015093174011
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Papua New Guinea,PNG,2.24066177808907
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Paraguay,PRY,0.241762448097808
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Peru,PER,0.362144553271403
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Philippines,PHL,0.376911574705654
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Poland,POL,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Portugal,PRT,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Puerto Rico (US),PRI,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Qatar,QAT,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Romania,ROU,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Russian Federation,RUS,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Rwanda,RWA,8.24999812228402
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Samoa,WSM,14.7401483592578
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,San Marino,SMR,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Sao Tome and Principe,STP,10.0067928899678
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Saudi Arabia,SAU,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Senegal,SEN,5.40838198917863
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Serbia,SRB,0.803437270419767
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Seychelles,SYC,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Sierra Leone,SLE,7.36292863275781
