Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Afghanistan,AFG,1981.71016810561
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Albania,ALB,19388.8550602564
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Algeria,DZA,14782.2002970247
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,American Samoa,ASM,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Andorra,AND,63913.3835079105
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Angola,AGO,8950.14259255142
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Antigua and Barbuda,ATG,27941.7851474762
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Argentina,ARG,27825.0273492567
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Armenia,ARM,17886.1783877168
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Aruba,ABW,38979.8358245412
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Australia,AUS,60029.1329190733
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Austria,AUT,65694.5513287254
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Azerbaijan,AZE,21051.2442291612
"GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,""Bahamas, The"",BHS,34342.9285316569"
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Bahrain,BHR,57572.997981018
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Bangladesh,BGD,7888.16389098304
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Barbados,BRB,20716.2851304966
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Belarus,BLR,26537.5083081674
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Belgium,BEL,62561.7810453236
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Belize,BLZ,12565.3645829576
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Benin,BEN,3588.32519938147
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Bermuda,BMU,98145.1689383889
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Bhutan,BTN,14061.3120274588
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Bolivia,BOL,11487.7148799194
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Bosnia and Herzegovina,BIH,19298.1814903752
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Botswana,BWA,18647.3734588832
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Brazil,BRA,18554.0461828519
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,British Virgin Islands,VGB,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Brunei Darussalam,BRN,76357.829114996
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Bulgaria,BGR,32433.8830906237
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Burkina Faso,BFA,2469.19956941259
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Burundi,BDI,1031.25412243175
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Cabo Verde,CPV,8850.1066918812
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Cambodia,KHM,6458.3681488084
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Cameroon,CMR,4843.65038202917
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Canada,CAN,58321.0611834624
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Cayman Islands,CYM,76818.8004032916
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Central African Republic,CAF,1136.80171107045
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Chad,TCD,2449.48251052484
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Channel Islands,CHI,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Chile,CHL,29569.4775527937
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,China,CHN,21499.3822834427
