Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Afghanistan,AFG,17.365
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Albania,ALB,24.735
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Algeria,DZA,31.662
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,American Samoa,ASM,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Andorra,AND,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Angola,AGO,28.288
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Antigua and Barbuda,ATG,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Argentina,ARG,19.004
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Armenia,ARM,26.354
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Aruba,ABW,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Australia,AUS,8.459
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Austria,AUT,10.327
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Azerbaijan,AZE,13.808
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,""Bahamas, The"",BHS,19.157"
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Bahrain,BHR,5.375
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Bangladesh,BGD,10.985
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Barbados,BRB,25.639
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Belarus,BLR,10.282
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Belgium,BEL,16.41
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Belize,BLZ,19.465
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Benin,BEN,3.134
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Bermuda,BMU,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Bhutan,BTN,27.177
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Bolivia,BOL,6.044
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Bosnia and Herzegovina,BIH,31.728
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Botswana,BWA,42.611
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Brazil,BRA,20.732
