Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Afghanistan,AFG,-2.54495596885681
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Albania,ALB,0.106261312961578
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Algeria,DZA,-0.650652348995209
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,American Samoa,ASM,1.12317395210266
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Andorra,AND,1.58598840236664
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Angola,AGO,-0.630108535289764
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Antigua and Barbuda,ATG,0.938082098960876
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Argentina,ARG,-0.0985943302512169
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Armenia,ARM,-0.740756273269653
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Aruba,ABW,1.48307979106903
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Australia,AUS,0.983715951442719
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Austria,AUT,0.648710012435913
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Azerbaijan,AZE,-0.922807276248932
"Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,""Bahamas, The"",BHS,0.881239235401154"
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bahrain,BHR,-0.362905442714691
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bangladesh,BGD,-1.046462059021
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Barbados,BRB,1.14464545249939
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Belarus,BLR,-0.802096605300903
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Belgium,BEL,0.581981599330902
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Belize,BLZ,0.564006090164185
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Benin,BEN,-0.34320268034935
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bermuda,BMU,1.02404379844666
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bhutan,BTN,1.00934255123138
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bolivia,BOL,-0.191908553242683
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bosnia and Herzegovina,BIH,-0.483193695545197
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Botswana,BWA,1.0739837884903
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Brazil,BRA,-0.395036935806274
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,British Virgin Islands,VGB,..
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Brunei Darussalam,BRN,1.24248862266541
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bulgaria,BGR,0.313428640365601
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Burkina Faso,BFA,-1.81536936759949
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Burundi,BDI,-1.19244623184204
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Cabo Verde,CPV,0.927069365978241
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Cambodia,KHM,-0.0980230420827866
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Cameroon,CMR,-1.37962925434113
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Canada,CAN,0.780681550502777
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Cayman Islands,CYM,1.66074180603027
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Central African Republic,CAF,-2.20505237579346
