Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Net migration,SM.POP.NETM,Afghanistan,AFG,-647402
Net migration,SM.POP.NETM,Albania,ALB,-16426
Net migration,SM.POP.NETM,Algeria,DZA,-14684
Net migration,SM.POP.NETM,American Samoa,ASM,-1305
Net migration,SM.POP.NETM,Andorra,AND,1102
Net migration,SM.POP.NETM,Angola,AGO,-995
Net migration,SM.POP.NETM,Antigua and Barbuda,ATG,0
Net migration,SM.POP.NETM,Argentina,ARG,5589
Net migration,SM.POP.NETM,Armenia,ARM,38001
Net migration,SM.POP.NETM,Aruba,ABW,152
Net migration,SM.POP.NETM,Australia,AUS,140972
Net migration,SM.POP.NETM,Austria,AUT,157365
Net migration,SM.POP.NETM,Azerbaijan,AZE,9086
"Net migration,SM.POP.NETM,""Bahamas, The"",BHS,1001"
Net migration,SM.POP.NETM,Bahrain,BHR,18975
Net migration,SM.POP.NETM,Bangladesh,BGD,-549990
Net migration,SM.POP.NETM,Barbados,BRB,-80
Net migration,SM.POP.NETM,Belarus,BLR,-8000
Net migration,SM.POP.NETM,Belgium,BEL,118615
Net migration,SM.POP.NETM,Belize,BLZ,5936
Net migration,SM.POP.NETM,Benin,BEN,-192
Net migration,SM.POP.NETM,Bermuda,BMU,0
Net migration,SM.POP.NETM,Bhutan,BTN,291
Net migration,SM.POP.NETM,Bolivia,BOL,-3008
Net migration,SM.POP.NETM,Bosnia and Herzegovina,BIH,-485
Net migration,SM.POP.NETM,Botswana,BWA,-7306
Net migration,SM.POP.NETM,Brazil,BRA,-253639
Net migration,SM.POP.NETM,British Virgin Islands,VGB,550
Net migration,SM.POP.NETM,Brunei Darussalam,BRN,0
Net migration,SM.POP.NETM,Bulgaria,BGR,26498
Net migration,SM.POP.NETM,Burkina Faso,BFA,-24960
Net migration,SM.POP.NETM,Burundi,BDI,1995
Net migration,SM.POP.NETM,Cabo Verde,CPV,-1253
Net migration,SM.POP.NETM,Cambodia,KHM,-31350
Net migration,SM.POP.NETM,Cameroon,CMR,-4798
Net migration,SM.POP.NETM,Canada,CAN,459988
Net migration,SM.POP.NETM,Cayman Islands,CYM,942
Net migration,SM.POP.NETM,Central African Republic,CAF,-17430
Net migration,SM.POP.NETM,Chad,TCD,36670
Net migration,SM.POP.NETM,Channel Islands,CHI,820
Net migration,SM.POP.NETM,Chile,CHL,59374
Net migration,SM.POP.NETM,China,CHN,-293846
Net migration,SM.POP.NETM,Colombia,COL,183180
Net migration,SM.POP.NETM,Comoros,COM,-2002
"Net migration,SM.POP.NETM,""Congo, Dem. Rep."",COD,-14991"
"Net migration,SM.POP.NETM,""Congo, Rep."",COG,-995"
Net migration,SM.POP.NETM,Costa Rica,CRI,1006
Net migration,SM.POP.NETM,Cote d'Ivoire,CIV,26777
Net migration,SM.POP.NETM,Croatia,HRV,11681
Net migration,SM.POP.NETM,Cuba,CUB,-23149
Net migration,SM.POP.NETM,Curacao,CUW,518
Net migration,SM.POP.NETM,Cyprus,CYP,9014
Net migration,SM.POP.NETM,Czechia,CZE,329739
Net migration,SM.POP.NETM,Denmark,DNK,60219
Net migration,SM.POP.NETM,Djibouti,DJI,500
Net migration,SM.POP.NETM,Dominica,DMA,-202
