Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Population, total,SP.POP.TOTL,Afghanistan,AFG,40578842
Population, total,SP.POP.TOTL,Albania,ALB,2451636
Population, total,SP.POP.TOTL,Algeria,DZA,45477389
Population, total,SP.POP.TOTL,American Samoa,ASM,48342
Population, total,SP.POP.TOTL,Andorra,AND,79705
Population, total,SP.POP.TOTL,Angola,AGO,35635029
Population, total,SP.POP.TOTL,Antigua and Barbuda,ATG,92840
Population, total,SP.POP.TOTL,Argentina,ARG,45407904
Population, total,SP.POP.TOTL,Armenia,ARM,2969200
Population, total,SP.POP.TOTL,Aruba,ABW,107310
Population, total,SP.POP.TOTL,Australia,AUS,26018721
Population, total,SP.POP.TOTL,Austria,AUT,9041851
Population, total,SP.POP.TOTL,Azerbaijan,AZE,10141756
"Population, total,SP.POP.TOTL,""Bahamas, The"",BHS,397538"
Population, total,SP.POP.TOTL,Bahrain,BHR,1524693
Population, total,SP.POP.TOTL,Bangladesh,BGD,169384897
Population, total,SP.POP.TOTL,Barbados,BRB,282318
Population, total,SP.POP.TOTL,Belarus,BLR,9228071
Population, total,SP.POP.TOTL,Belgium,BEL,11680210
Population, total,SP.POP.TOTL,Belize,BLZ,402733
Population, total,SP.POP.TOTL,Benin,BEN,13759501
Population, total,SP.POP.TOTL,Bermuda,BMU,64749
Population, total,SP.POP.TOTL,Bhutan,BTN,780914
Population, total,SP.POP.TOTL,Bolivia,BOL,12077154
Population, total,SP.POP.TOTL,Bosnia and Herzegovina,BIH,3204802
Population, total,SP.POP.TOTL,Botswana,BWA,2439892
Population, total,SP.POP.TOTL,Brazil,BRA,210306415
Population, total,SP.POP.TOTL,British Virgin Islands,VGB,38319
Population, total,SP.POP.TOTL,Brunei Darussalam,BRN,455370
Population, total,SP.POP.TOTL,Bulgaria,BGR,6465097
Population, total,SP.POP.TOTL,Burkina Faso,BFA,22509038
Population, total,SP.POP.TOTL,Burundi,BDI,13321097
Population, total,SP.POP.TOTL,Cabo Verde,CPV,519741
Population, total,SP.POP.TOTL,Cambodia,KHM,17201724
Population, total,SP.POP.TOTL,Cameroon,CMR,27632771
Population, total,SP.POP.TOTL,Canada,CAN,38935934
Population, total,SP.POP.TOTL,Cayman Islands,CYM,71591
Population, total,SP.POP.TOTL,Central African Republic,CAF,5098039
Population, total,SP.POP.TOTL,Chad,TCD,18455316
Population, total,SP.POP.TOTL,Channel Islands,CHI,167215
Population, total,SP.POP.TOTL,Chile,CHL,19553036
